Variable,Overall_Mean,Overall_SD,Between_SD,Within_SD,Between_Within_Ratio
AQMS,1.5476190476190477,1.0682460797805065,1.0068887151977755,0.37341964473725425,2.696399960174144
ARL,4.450857142857143,0.2584446341345081,0.2090083186060875,0.15372467886592017,1.3596276157349214
FEE,22.646087301587304,1.6535675160684167,1.5933112458419645,0.4753810298129029,3.3516508777580976
FO,0.19341269841269842,0.2808415432726243,0.27760688931912303,0.05222537735469833,5.315555451781696
SIZE,28.416166666666665,2.0545264796971816,1.9905262312814056,0.5533907180759267,3.5969635309428885
ROA,8.868373015873017,244.1768954782376,69.95320530102136,234.06706905252744,0.29885966267780717
