Variable,FE_Coef,FE_SE,FE_PVal,FE_Sig,RE_Coef,RE_SE,RE_PVal,RE_Sig
ARL,0.2610913646818308,0.17284960610740388,0.13262829159359124,,-0.1533418016059562,0.15828744470338488,0.3336149239194479,
FEE,-0.031078359915660728,0.06011088712578951,0.6057650965737142,,0.07635000158807724,0.04266189733589664,0.07473467310804827,*
FO,-0.0808196799226175,0.2831751359686465,0.7756546781807794,,0.06837363285544883,0.31140102423351196,0.8263891274485089,
SIZE,-0.06914019524764926,0.028884870805418808,0.017687087208817065,**,0.017764409291502924,0.03686009386514161,0.6302742511457211,
ROA,-0.00018588105730243162,3.1927381848432764e-05,2.5439031769991516e-08,***,-0.00016371719183297235,5.915810225919102e-05,0.006077310743334952,***
