Variable,FE_Coef,FE_SE,FE_Sig,RE_Coef,RE_SE,RE_Sig
ARL,0.2610913646818308,0.17284960610740388,,-0.1533418016059562,0.15828744470338488,
FEE,-0.031078359915660728,0.06011088712578951,,0.07635000158807724,0.04266189733589664,*
FO,-0.0808196799226175,0.2831751359686465,,0.06837363285544883,0.31140102423351196,
SIZE,-0.06914019524764926,0.028884870805418808,**,0.017764409291502924,0.03686009386514161,
ROA,-0.00018588105730243162,3.1927381848432764e-05,***,-0.00016371719183297235,5.915810225919102e-05,***
