Variable,Coefficient,Std_Error_Clustered,t_statistic,p_value,CI_Lower,CI_Upper
ARL,0.2610913646818308,0.17284960610740388,1.510511771253884,0.13262829159359124,-0.07769386328868078,0.5998765926523424
FEE,-0.031078359915660728,0.06011088712578951,-0.5170171561538494,0.6057650965737142,-0.14889569868220817,0.08673897885088672
FO,-0.0808196799226175,0.2831751359686465,-0.28540528336345866,0.7756546781807794,-0.6358429464211647,0.47420358657592965
SIZE,-0.06914019524764926,0.028884870805418808,-2.3936473773210905,0.017687087208817065,-0.12575454202627012,-0.012525848469028399
ROA,-0.00018588105730243162,3.1927381848432764e-05,-5.821994994292213,2.5439031769991516e-08,-0.0002484587257253598,-0.0001233033888795034
