Variable,Coefficient,SE_Robust,SE_Clustered,SE_Increase_%,PVal_Robust,Sig_Robust,PVal_Clustered,Sig_Clustered
ARL,0.2610913646818308,0.1856101741463181,0.17284960610740388,-6.874929188340164,0.16121343097108887,,0.13262829159359124,
FEE,-0.031078359915660728,0.06216985118627794,0.06011088712578951,-3.3118368810618652,0.617746728799266,,0.6057650965737142,
FO,-0.0808196799226175,0.2455139480246672,0.2831751359686465,15.339734563754986,0.742389729871014,,0.7756546781807794,
SIZE,-0.06914019524764926,0.023362199188675093,0.028884870805418808,23.63934821436181,0.003486914135613528,***,0.017687087208817065,**
ROA,-0.00018588105730243162,4.429938733418594e-05,3.1927381848432764e-05,-27.92816386470806,4.221567803397441e-05,***,2.5439031769991516e-08,***
