,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
AQMS,252.0,1.5476190476190477,1.0682460797805065,0.0,1.0,1.0,3.0,4.0,0.21101921471513638,-1.1321492051741266
ARL,252.0,4.450857142857143,0.2584446341345081,3.807,4.391,4.466,4.489,6.038,1.2503084855730544,7.516096855387303
FEE,252.0,22.646087301587304,1.6535675160684167,17.453,21.48125,22.512,23.858249999999998,26.501,0.054103524531281005,-0.24687468887326958
FO,252.0,0.19341269841269842,0.2808415432726243,0.0,0.0,0.0,0.42,0.92,1.1203535538719864,-0.296646741894409
SIZE,252.0,28.416166666666665,2.0545264796971816,17.983,27.25975,28.555999999999997,29.6505,32.938,-1.0258190762957509,4.0641224405280365
ROA,252.0,8.868373015873017,244.1768954782376,-1391.15,0.0075,0.05,0.1,3612.44,12.151395332238275,194.93666948943812
